tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating,review_quality_rating,review_difficulty_rating,review_class,Review_1,Review_2,Review_3
Sociology,298,Cornell University,Matt,,Brashears,1244934,8,good,TEACHER,PROFESSOR,4.3,4.5,4.5,,"Makes stats interesting. If you have to take a stats course, take this one. Also, not sure if he still does this, but if you have an A for the semester, you don't have to take the final, which was nice.","Amazing professor. Remarkably clear, helpful, and cool guy. Tests and grading were incredibly fair. Take for MQR","He is very clear when he teaches, in what he expects from his students, and in terms of what is on the prelims/finals.  One caveat is that he sticks to the rues and procedures to a T - he gave hw due the day before thanksgiving even though class was cancelled just because technically there ""could be"" class that day.  Overall a steller professor."
Philosophy,298,Cornell University,Tad,,Brennan,1020285,17,good,TEACHER,PROFESSOR,4.2,5.0,5.0,,"This professor is really knowledgable, and covers a huge amount of material in one semester. You don't even really need to do the readings or take notes (although the final papers do cover what is talked about in class so I suggest taking notes). GO TO TA's FOR HELP WITH YOUR ESSAYS THEY ARE THE GRADERS.","Tad is one of the best professors I've had at Cornell! He is engaging and seems to genuinely care about his students. It is important to attend lecture, but his lectures are interesting and he encourages participation by making students discuss topics in small groups and trying to call on different students to speak.","Clear and careful guy, just like a lot of philosophers. Very willing to engage student questions in class, and takes a lot of pains to learn students' names. Reading is helpful, but lectures do summarize the readings. Would have preferred in-class discussions to be more polemical, but the course focus seems to be introducing/describing Plato, etc."
Biology,298,Cornell University,Anthony,,Bretscher,1629987,15,good,TEACHER,PROFESSOR,4.1,5.0,5.0,,An absolutely amazing professor! He truly cares about his students and does his best to perfect all the course material. His lectures are so well put together and he always times himself to make sure that his lectures last just the right amount of time. He is always open to help students despite being kind of scary at first haha.,"Lectures are easy to follow, concise, and well-organized, considering the complexity of the material. It's clear that he knows exactly what he's talking about and is well-versed in the field. The class is super interesting, but keep up with the material instead of cramming for the prelims, as the questions are both thematic and detail-oriented.",Lectures are important. Read notes before class and material will become much easier during it. Most of Bretscher's questions on exams come directly from the notes. Section is also very important.
Science,298,Cornell University,Andrew D,,Bridson,1561761,2,poor,TEACHER,PROFESSOR,2.2,,,,"He spent way too much time focusing on the mathes and very little classtime actually adressing the beaucoup des animaux dans la fenetre. He also encouraged us to learn through the Wheel of Fortune game, which only served to distract us even more.",Love this man! Single handedly got me into the USC grad program. His class was Not only amusing but extremely useful in the real world. I also enjoyed the many DG and Alpha Phi TA's although there were a lack of SDTs... All I know is that Bridson would never ruin my night while wearing a sombrero,
Classics,298,Cornell University,Charles,Francis,Brittain,2715722,0,zero,TEACHER,PROFESSOR,N/A,,,,,,
Social Science,298,Cornell University,Kate,,Bronfenbrenner,609742,18,average,TEACHER,PROFESSOR,3.3,4.0,4.0,,"Professor Bronfenbrenner is very well respected in her field and she makes that very clear within her class. She's very knowledgeable but isn't the best at conveying that knowledge. She can be intimidating at first, but once you warm up to her she can be very helpful and makes it clear that she wants you to succeed.",She is tough but amazing. Her expertise is unparalleled. She really is one of the best at ILR.,"Dr. Bronfenbrenner is knowledgeable and experienced. However, she does not communicate that knowledge well at all. Her grading is ambiguous, she changes her mind without telling you, she only speaks in mumbles or yelling. The class could have been great, but she shouldn't be teaching anymore."
Animal Science,298,Cornell University,Samantha,,Brooks,1252117,7,average,TEACHER,PROFESSOR,2.5,4.0,4.0,,You get to do ten barn chores that take about an hour and fifteen minutes to do. Lectures are necessary. Quizzes cover random facts and not so much the actual useful stuff or even the material focused on. Quizzes are harder than prelims. TA's are generally not nice or all that available. Office hours do not exist. Horse experience is necessary!!!,"Generally a decent professor; passionate about her work and the lectures are interesting. Worth going to class and labs as she will often quiz you on things she said that aren't necessarily in the lecture slides. Some bad questions, but mostly straight from lecture. Not required that you have horse experience but definitely helpful.","Easy class for those with prior horse experience, but difficult if you haven't had any.  Tests are multiple choice and usually straight from the lecture materials which are readily available, some tough questions but all the info is right in the notes.  Good to get hands on experience with horses. Labs are interesting and hands on (theyve improved)"
Economics,298,Cornell University,Nancy,,Brooks,1478260,8,average,TEACHER,PROFESSOR,2.5,5.0,5.0,,"Worst professor I have ever experienced.  Lectures are rushed and questions are treated as an interruption to class.  Grading affords no constructive feedback that provides solutions, only aggressive comments stating the answers are incorrect.  Lacks personable skills when interacting outside of class.  If your goal is to learn , avoid this one.","A brilliant, nice person, but doesn't act like a professor, in that she doesn't teach. She's more concerned with getting through syllabus than presenting so people can understand. Lectures, long and VERY FAST.  She RACES through TWO textbooks expecting that you will read several chapters per week, even when there are very long problem set due.","Very bright professor, but acts as if teaching is an inconvenience. Not too concerned with whether or not you understand.   If you're going to take this class, expect to clarify concepts for yourself outside of class. You're better off not asking any questions. "
Animal Science,298,Cornell University,Dan L.,,Brown,625329,7,good,TEACHER,PROFESSOR,4.1,5.0,5.0,,Dr. Brown's Comparative Nutrition class has been my favorite at Cornell so far.  The lectures are entertaining and informative and the labs are fun in the typical Animal Science way.  There is no textbook but rather handouts to read.  Tests are mostly take-home.,"He is nice and fair.  However, his lectures tend to get a little dry.  Also, don't buy the textbook.  You will never use it, and it does not relate to the course at all.","He is very easygoing, friendly, and helpful.  His class is pretty easy as long as you keep up with assignments and pay attention once in a while.  He can be rather boring, and his jokes aren't exactly hilarious, but he's extremely knowledgeable, passionate, and approchable."
Social Science,298,Cornell University,David,,Brown,815214,3,good,TEACHER,PROFESSOR,4.5,5.0,5.0,,"One of the nicest people you'll meet. Knows the stuff really well and is hugely committed to ensuring that students understand the material. Clear, excellent lecturer. The class is easy, too.","Best Professor at Cornell. Knows his stuff, and really easy to get an A!!! take home prelim and final","He definitely knows his stuff.  Apparently he's quite the resource for demography.  Lectures can be slow and bogged down by powerpoint, but the information is relatively interesting and he can be funny too (even if he's not trying to be)."
German,298,Cornell University,Alex,,Brown,1961967,0,zero,TEACHER,PROFESSOR,N/A,,,,,,
English,298,Cornell University,Laura,,Brown,2364512,3,good,TEACHER,PROFESSOR,5.0,5.0,5.0,,"Prof. Laura Brown is a GEM. She is so kind and sweet - she cares about your opinion and is quick to praise interesting thoughts. She is humble, incredibly brilliant, a great listener, and SO flexible. If you need an extension, she is very generous. She also invited our whole class to her house for dinner at the end of the semester. She is so loved!","Mrs. Brown is a fantastic english professor. She's so smart and extremely knowledgeable about all the texts you read and on top of that just a super nice and approachable person. Her policies are generous and she's pretty chill about extensions if you ask nicely. Not an easy A or hard class, she grades fairly and always wants to help you learn.","Hands down the best professor I've had. So intelligent and experienced, chooses amazing books to read, and is an extremely fair grader. She's not the type to take off points for the sake of it--she wants everyone to do well. She is really funny and provides a great environment for passionate dialogue. She's the reason I declared an English major."
Engineering,298,Cornell University,Larry,,Brown,369497,27,average,TEACHER,PROFESSOR,2.9,5.0,5.0,,"Larry seems like a perfectly nice guy, but his teaching style leaves room for improvement. This was my most disorganized class of the semester and although the homework isn't difficult, the textbook assignments are extremely long. Also, as others have said, the quizzes are only based on his hard-to-follow lectures and they can be rough.","You have to put in work to get an A. I found the homework assignments long and tedious and the tests/quizzes are based solely on lectures. If you don't attend lecture, you probably won't do well on the exams because the slides alone aren't helpful. He is also very unorganized when he lectures so its hard to stay focused and grasp concepts.",i love larry
Organizational Studies,298,Cornell University,Judith,,Brownell,1162700,4,average,TEACHER,PROFESSOR,3.3,4.0,4.0,,Very easy class to pass with Judi. She is super caring and nice and gives the easiest homework. Honestly the class is a bit of a joke where you play games and chat most of the time. You can very easily get an A if you show up and just put a little bit of time into the few pieces of homework that she gives. Big plus - she has no finals unlike others,"Attend all classes! if you miss a class with an important assignment done during classtime you are screwed.  Otherwise, not too hard but fairly boring.","She's like a sweet grandma, and pretty easy. Attendance is mighty important. 3 absences and your grade goes down from A to A-."
Philosophy,298,Cornell University,Lawrence,,Bruce-Robertson,449436,8,good,TEACHER,PROFESSOR,4.1,5.0,5.0,,"Lawrence's class was one of the most engaging and thought provoking classes I have taken at Cornell. While essays were few and far in between, they required a close reading of the text and a well structured argument. Anyone with the slightest interest or prior experience with philosophy would enjoy his class. I myself am a ChemE maj and I loved it","He was very passionate about the subject matter. Certain parts of the Descartes text were interesting, but after a while the class got repetitive and boring. He is a fair grader and wants to help those in his class. Very approachable. Just watch out for being bored to tears by the seminar and the reading (even though its short). Overall, so-so.","Good professor... very interesting class. He grades very hard though. Getting an A , regardless of how well you write, is pretty damn hard unless you analyze philosophy very well. Getting a B is not that hard though. As long as you do some work, he'll give you a B. Not a lot of reading involved."
Physical Education,298,Cornell University,Michael,,Bryant,2508691,2,good,TEACHER,PROFESSOR,4.5,4.0,4.0,,"Chill dude, not too overbearing. Unfortunately he will also try to push his anti-vax agenda onto you occasionally, but still a great guy overall.","This is an instructor who clearly knows what he's doing and is excellent at imparting both the basics and intricacies of the game. He won't suffer whiners or overly needy types - as well he shouldn't. I had a terrific experience and would take another class if I get the chance. If you want to learn tennis, this is the class and instructor to take.",
Entomology,298,Cornell University,Nicolas,,Buchon,2258419,30,good,TEACHER,PROFESSOR,4.4,5.0,5.0,,"Prof Buchon's slides and lectures were by far the most clear and easy to understand. I felt like the topics he taught were some of the more difficult ones, but his explanations and heavy use of in-class practice questions helped a lot. He also pushed back a prelim when he knew the students were stressed about other emergency matters.","The ability to watch the recorded lectures is what carries this class. All the information you need for the exams are in the recorded lectures, and the three professors that teach this class have plenty of office hour times to help with understanding the lectures. The discussion sections are great fun, with great experiments. JOIN BIOG1044! GL","An interesting class where you will learn a lot about physiology. Contrary to what is said in the syllabus, it is heavy in human physiology and not so much focused on other organisms. Pr. Buchon really explained well complicated concepts."
Political Science,298,Cornell University,Susan,,Buck-Morss,240959,15,average,TEACHER,PROFESSOR,3.0,4.0,4.0,,"Based on her knowledge should not be teaching a class on Islamism, based on a poor attitude towards students and totally unprofessional behavior in class should not be teaching at all. Whatever I know about Islamism, I learned outside of class. Susan was a waste of my time and a (rare) horrible Cornell experience.","Could not agree more with the two posts below me. Buck-Morrs should NOT be teaching a class about Islam. Could have been a much better class if led by prof like Brann or someone who actually speaks Arabic. Class very vague, theoretical, not grounded in fact or history. A waste of my time.",Terrible. Terrible. Terrible. Yes she's enthusiastic but that's about it. She's new to Islam and shouldn't be teaching a course about it. Half of the students know more than her and she has an inferiority complex. Extremely unprofessional and vague. Hate her.
Agriculture,298,Cornell University,Carlyn,S. Keith,Buckler,2795063,0,zero,TEACHER,PROFESSOR,N/A,,,,,,
Biology,298,Cornell University,Daniel,H,Buckley,2236714,4,good,TEACHER,PROFESSOR,5.0,5.0,5.0,,Great lecturer that cares a lot about his students and will do anything to help you out!,Absolutely amazing! Best professor I've ever had. Takes all the bio concepts and info and relates it back to everyday life. Lectures are extremely interesting and go at the perfect pace. Definitely take this class!,"One of the greatest professors! He made me a lot more interested in biology. He respects the students a lot and as well as every silly question a student might ask, whenever in class or office hours or emails. Additionally he always smiles at you!!! If he is going to teach another higher level class, I would definitely take whatever the subject is."
Natural Resources,298,Cornell University,Dylan,,Bugden,2386902,3,poor,TEACHER,PROFESSOR,1.7,,,,"One of the worst classes and professors Ive ever had in my life. I honestly dont think he is In teaching to actually teach. The entire class was just pushing out as many assignment as possible. And then when I got something wrong, he would not teach and let me know why, he just said this is not correct, like gee thanks TEACHER",You have to be a fast note taker b/c tons of information on slides that are fine print. No electronics allowed in class! Be on time to every lecture! Try to ask specific or detailed questions as much as you can b/c vague ones don't get accurate answers. Go to office hours frequently to understand structure of assignments as much as possible.,"Better communication skills needed and less words on the lecture slides, so information won't feel overwhelming when trying to take notes in a 50 min class. This class is fairly confusing when it comes to completing assignments. Overall, this class needs better structure and order to provide a more effective learning environment for students."
History,298,Cornell University,Eliza,,Buhrer,1156980,2,good,TEACHER,PROFESSOR,4.5,4.5,4.5,,"Easy grader, but but her class is so boring","shes a great teacher, passionate, it was my fws but i always liked her and shes very sympathetic",
Philosophy,298,Cornell University,Nathan,,Bulthuis,1997297,6,good,TEACHER,PROFESSOR,4.6,5.0,5.0,,"Dr. Bulthuis is an exceptional professor & explains complicated content in a clear, palatable way. He makes you want to learn the material. This course was on the Philosophy of Aquinas--heavy duty stuff--& Dr. B he made it enjoyable and exciting. I was blown away at this course from beginning to end. He wants you to get it & is very approachable.","Bulthuis explains course concepts very clearly and in an engaging way. Even when readings initially seemed incomprehensible, Bulthuis managed to make the material seem simple. I was always excited to go to class (even though it was in the morning!). I am hoping to major in philosophy because I loved his class so much. He is my favorite professor.",Professor Bulthuis was very good at explaining the different topics we covered especially since the assigned readings were sometimes long and difficult to fully grasp. Lectures were interesting and he was usually very accessible during office hours to go over things.
African Studies,298,Cornell University,Happiness,,Bulugu,1839685,3,good,TEACHER,PROFESSOR,4.8,5.0,5.0,,"Happiness is the best language professor/teacher I have ever had. She is unbelievably caring and genuinely interested in her students. Swahili is a fun language to learn and Happiness creates a low-stress environment to do so. I look forward to her class every day and no Friday classes are a perk :) I highly, highly recommend!!","I love Happiness so much. I've learned a lot of Swahili from her and would encourage anyone to take her class. If you want to skim by and get an A, it's totally doable. If you really wanted to learn Swahili that's doable too. What you put into this course is what you get out of it. I love starting my day with Happiness and my Swahili class","Bulugu is, simply put, a great professor. Swahili with her is always fun and is an easy course so long as you put in just a little time going over vocab/grammar each week. Because of the small class size, you'll definitely bond with your classmates. Only good things to say."
Statistics,298,Cornell University,Florentina,,Bunea,2074100,14,average,TEACHER,PROFESSOR,2.7,4.0,4.0,,"Bunea's class was hard for me. Definitely wouldn't recommend for someone who doesn't have background in Stats or some calc. That being said, she clearly likes the class and her students. She said some of the funniest things in lecture and was really open to helping me when I did poorly on a test. She gets a bad rep: unjustly.","Absolutely the worst course I have had. She makes the course and the material unnecessarily complicated. If it wasn't for the TA, I would have failed the class. Attending her lectures were the worst hours I spent on campus. She writes on a blackboard and her handwriting is just way too difficult to read and goes too fast. Take ECON3110 instead.","I enjoyed Prof. Bunea's lectures very much. Some people might say otherwise but honestly I think it's very difficult to teach a statistics course and keep it engaging in general. She really does a great job and I really appreciated everything I learned! Final grade is 90% prelims/exam though, so be careful if that's not your cup of tea."
Mathematics,298,Cornell University,John,,Bunge,1235031,8,good,TEACHER,PROFESSOR,4.7,5.0,5.0,,"John Bunge knows so much about the statistics field and isn't afraid to spend entire lectures discussing an interesting hot topic, such as the replication crisis. He followed the textbook pretty closely, and exams and HW were reasonable. You should definitely go to lecture because he was so funny and gave great advice to stats majors.","JB is an amazing and passionate professor. He cares more that you truly understand the material more than anything else. Even though his class was at 8:40 in the morning, it was still one of my favourite classes and I tried not to miss a single lecture. Highly recommend taking this class if youre interested in stats.","One of the more interesting stats advanced electives. He makes the material interesting and has a generous grading policy with hw being worth 50%. However, he's a bit lazy as he posts the past prelims before the midterm but he doesn't post solutions which makes it hard to study. Also need to go to class because there's no textbook nor online notes."
Film,298,Cornell University,Austin,,Bunn,1827456,4,average,TEACHER,PROFESSOR,3.3,4.0,4.0,,"Prof. Austin Bunn is one of the best professors at Cornell, Screen & Story is one of the best classes at Cornell, BUT he sometimes isn't that nice of a guy. He pokes fun at students in class and makes the class laugh at them. He will also mock your opinion if he disagrees with it. He's incredible at his job, but when the joke is you, it's not fun.",Lacks professionalism needed from a screenwriting professor. Rude to students and out of touch with experiences outside of his own. Condescending and inexperienced in the subject that he teaches. Inconsistent when giving notes. Unqualified.,"Intimidating but brilliant. workload is alright, BUT he holds the honor of being the first cornell prof who's ever denied me an extension (I'm a rising senior)... so don't expect a lot of flexibility.  still, I learned a LOT in Screenwriting and if you're lucky enough to get into the class, you're gonna get a lot out of it."
Economics,298,Cornell University,Richard,,Burkhauser,349936,90,average,TEACHER,PROFESSOR,2.5,4.0,4.0,,"I feel that Professor Burkhauser gets unfairly criticized by people who feel that any introductory social sciences class should be a walk in the park. Yes, his final is very difficult, but doing well on it is extremely rewarding and cements your knowledge of the material covered over the 15 or so weeks prior. If you take his class, be prepared to think about all of the concepts he goes over and be wary of some trick questions, but also be prepared to learn more about economics than most other professors at Cornell could ever provide.","He is so boring that I slept in every class. But hey, his class is so easy u have to try to not get an A so what more can you ask for?","Final had new material he never discussed, and was not in the textbook. Good teacher, terrible grader."
Human Ecology,298,Cornell University,Anthony,,Burrow,1348749,11,good,TEACHER,PROFESSOR,4.6,5.0,5.0,,"I stumbled upon his class by coincidence, but Professor Burrow turned out to be my favorite professor at Cornell. He is very in tune with his students' needs and cares a lot about everyone. His lectures were the highlight of my week--he is incredibly engaging and passionate while staying open-minded. Take his class if you can!!!","really great professor... understands that we have work outside of his school and is accommodating, most of final grade is from exams - all other work is straightforward and pretty easy.",Burrow really cares about his students and genuinely cares about our feedback. Inspiring lectures and interesting material. Overall great class and professor
Not Specified,298,Cornell University,Mary,,Burton,1489756,0,zero,TEACHER,PROFESSOR,N/A,,,,,,
Labor  Employment Relations,298,Cornell University,Diane,,Burton,2101286,6,poor,TEACHER,PROFESSOR,1.8,4.0,4.0,,"Overall, the class was very disorganized. There were many small assignments, that were difficult to keep track of, and many difficult group assignments. Grading criteria was completely random and generally unclear. Would not take this class again.",Absolutely the worst experience I've had with a professor at Cornell. Her feedback is condescending and she will belittle you if you don't agree with her pov. Avoid at all costs,"I'm disappointed to see the other reviews here. Prof. Burton is honestly a gem and I loved listening to her lectures throughout the semester. She really cares about her students and works hard to find interesting, relatable material. Unfortunately, many students jump on her in class and try to take advantage of her kindness, derailing lectures."
Engineering,298,Cornell University,Jonathan,,Butcher,1654092,2,good,TEACHER,PROFESSOR,3.5,5.0,5.0,,Clear knowledge and has great control on the subject matter. Great lectures and good learning.,Dr. Butcher writes so quickly that its all you can do to keep up let alone understand what's going on. His handwriting is slightly messy and very small. He talks to the board and doesn't pause often to relate the math to the physical world.,
African Studies,298,Cornell University,Judith,,Byfield,1382550,7,average,TEACHER,PROFESSOR,2.5,4.0,4.0,,This professor is a menace. Her grading was completely unclear and she obviously gave students bad grades for no other reason than she didn't like them. Taking this course was like watching a child on a power trip every day. stay away,You have no way to figure out how to improve because there is no grading rubric and no feedback. You will be expected to read upwards to 150 pages before every class. Very arbitrary grading and excruciatingly long lectures with no breaks as promised in syllabus. Grading is a mystery even with 1 week left. Expects thesis level work with <1000 words.,"Oh God please, do yourself a favor and stay away. No clear grading rubric. Impossible to please. A class where hard work doesnt pay off. Unreasonable amount of reading. Long, boring lectures. Dont, just dont."
Communication,298,Cornell University,Christopher,,Byrne,2603835,2,good,TEACHER,PROFESSOR,5.0,5.0,5.0,,"Prof. Byrne is one of the best comm profs. He is knowledgeable and genuinely a good person. He gives good feedback to improve on assignments, and is generally reasonable with grades and has clear rubrics. Due dates are fairly spaced out, and overall he's just a great person and professor",Such a caring and compassionate professor who is passionate about his work. Has fantastic energy!,
Communication,298,Cornell University,Sahara,,Byrne,1242827,18,good,TEACHER,PROFESSOR,4.8,5.0,5.0,,"Professor Byrne truly cares about her students and not just their success inside of her class, but their outside involvement as well. I was fortunate to have her for COMM 1101 in person this year and she was so understanding about all the struggles of online learning for the kids who were not on campus and pushed back assignment dates to help.",This is a chill and fun class. You won't regret it,She is so amazing. The material is not super interesting but she makes it enjoyable. She is also super understanding. Attendance is mandatory but she gives a fair amount of absences. I definitely recommend taking a class with her if you can.
Engineering,298,Cornell University,K Bingham,,Cady,289759,15,poor,TEACHER,PROFESSOR,2.3,5.0,5.0,,Probably the most pathetic professor I've ever met.  He can't teach anything or explain anything.  He assigned an incomprehensible book with too many errors.  If you're willing to turn in a paper every class that looks like the homework you should get an A.  (You'll notice I'm didn't care enough about the class to do that).,"Awful professor.  I hear he is better with ECE classes, but he is not well suited for teaching larger lectures.  He mumbles, and seemed like he was in his own little world...he would frequently mess up even the most basic problems, even though he had the answers right in front of him.  avoid him if you can.","Mumbles, doesn't seem familiar with topic.  Makes ""chalk errors"" that students have to correct, even when copying from prepared notes.  Very slow and monotonous lectures.  Not many alternatives here, but this is not a lecturer you'd want to learn from.  Apparently big difference from the ECE class, perhaps due to huge class sizes."
Operations amp Information Mgmt.,298,Cornell University,Kathryn,,Caggiano,2326373,3,good,TEACHER,PROFESSOR,3.7,5.0,5.0,,One of the best professors you could ever asked for in life.,"Worse professor last semester. You need to impress her to get an A. Obviously you can put in hours of work but still end up with a B just because she ""does not give As"" Will never take her class again!",Caggiano is one of the best professors I had at Cornell. Her lectures were captivating (which is saying a lot since it's an excel course). The material in this course extremely relevant for any college graduate. I've already used countless skills from this course in my job. Incredible course and professor. I can't recommend it enough.
Entomology,298,Cornell University,Marina,,Caillaud,2612419,8,good,TEACHER,PROFESSOR,4.5,5.0,5.0,,just taking that course rn and loving it.,Super kind prof and passionate about material. Need to study for exams but questions are straight-forward if you know the content,Great professor with really interesting lectures. Professor was very accessible and accommodating when I tested positive for Covid-19. This was by far my favorite class at CU so far (i am a senior)
English,298,Cornell University,Marty,,Cain,2641430,3,good,TEACHER,PROFESSOR,5.0,5.0,5.0,,Marty is great. ,He's an awesome guy and cares about his students. He encourages discussion and is understanding and open-minded. We did interesting projects and the class environment was truly great,Marty was so knowledgeable and made a subject that was foreign to many in my class relatable to our lives. The readings and media were interesting and engaging. Marty made a very safe space for discussion and encouraged participation and opening up to each other. 10/10!!
Engineering,298,Cornell University,John,,Callister,166526,119,good,TEACHER,PROFESSOR,3.5,5.0,5.0,,Easy as long as you pay attention and spend time doing the homework. The course covers a lot of materials so organizing notes can be really helpful.,"Exams give little partial credit but are also very easy. Rather than focus on critical thinking and problem-solving skills, the exams prioritize memorization. Discussions had typos and Callister often rambled in lectures. Overall a poorly run class.","Professor Callister is a very engaging lecturer. He answers questions and explains concepts very clearly and, whether you are interested in the topic or not, he is enthusiastic and seems to really care about the material. He is very accommodating (especially during COVID) and cares about his students' wellbeing (not common among STEM profs)."
Writing,298,Cornell University,Cynthia,,Camp,486738,4,good,TEACHER,PROFESSOR,4.0,4.5,4.5,,"I WOULD NOT PREFER. I RECEIVING A 50 ON THE FIRST ESSAY, I ASKED FOR GUIDANCE. WE EMAILED BACK AND FORWARDS ABOUT 3TIMES CONCERNING THE 2ND ESSAY. I MADE ALL CORRECTION AND TWEEKS SHE ASKED ME TO MAKE THREEEE TIMESSSS, AND I STILL RECEIVED A 'C' ON THE ESSAY. don't do it unless you want to drop your gpa!",Always willing to help and give you pointers. Very knowledgable.,"She was a fun, and very clear teacher.  Sometimes the assignments can suck because the readings are so long, but overall it was a fun class.  If you improved your writing you generally did well."
Asian Studies,298,Cornell University,Andrew,,Campana,2659927,0,zero,TEACHER,PROFESSOR,N/A,,,,,,
City & Regional Planning,298,Cornell University,Thomas,J,Campanella,1919764,9,average,TEACHER,PROFESSOR,2.7,5.0,5.0,,Very interesting lectures presented in an energetic way. Extremely knowledgeable about everything urban planning.,very inconsiderate of students reactions and feelings to the stressful events on campus over the last couple of days. he undermined their trauma by saying that he went through 9/11 no compassion or empathy,"Campanella is an eccentric but fun professor. His lectures, while not very organized and lacking informative slides, are enjoyable, and the grading for the three essays was very lenient. Attendance determines your participation grade"
Languages,298,Cornell University,Timothy,,Campbell,131125,3,average,TEACHER,PROFESSOR,3.0,5.0,5.0,,Great professor! I decided to take another class with him because I liked the first one so much; he really tries to engage students and create thought provoking discussions. Assigns quite a bit of reading but a very chill and caring professor overall.,"Prof. Campbell does make you think about the issues you'll discuss in his class, and his own knowledge of the content is well-versed (fascism/modernity is what he researches, after all). He's very laid back and helpful, though sometimes he can be a little too laid back. Be warned: there may come a day where he forgets to tell you there's no class!","Prof. Campbell is an impressive intellectual. He's a really nice guy outside of class, but within the classroom setting he can be a bit too demanding. His classes are good, but you have to expect to participate ALOT in section and do an almost excessive amount of reading and writing."
Writing,298,Cornell University,Timothy,,Campbell,2209325,1,poor,TEACHER,PROFESSOR,2.0,,,,Interesting class Makes you buy two books which are a waste of our time Tough and unclear grader Cancelled 4 of our classes and had us attend a 2 hour make up class Gave us final essay prompt 9 days before due date (gave us the Tuesday of finals week (12/6) and due last day of finals (12/15). Very unfair thing to do as many of us had 3 or 4 finals,,
Biology,298,Cornell University,Darlene,,Campbell,746641,28,good,TEACHER,PROFESSOR,3.7,5.0,5.0,,"I thought she really cared about her students, was super nice, and really wants to make an effort to help her students learn. The class is quite a lot of work but I was able to manage it","This is an auto-tutorial, so you will not see the professor as much. Use the survival guide, textbook, and website simultaneously to complete the objectives for each unit. You will have weekly multiple choice quizzes + oral exams with your designated TA. Each week1 unit. You will have extension days. Lab grades are harsh but the quiz & oral is ok.","Self taught format. Your learning is not with Dr. Campbell although she is a very kind, accommodating, and sweet professor. 10 units. Written + Oral Exam for each unit (you retake oral until you pass). 4 labs (this is where the tough grading comes in). Designated TA that you meet with as many times as the both of you can. USE ANKI."
Aerospace Eng.  Mechanics,298,Cornell University,Mark,,Campbell,2164970,1,good,TEACHER,PROFESSOR,5.0,5.0,5.0,,"IF YOU'RE READY TO WORK, HE'S THE MAN TO GO TO",,
English,298,Cornell University,Angelina,,Campos,2756986,0,zero,TEACHER,PROFESSOR,N/A,,,,,,
Finance,298,Cornell University,Linda,,Canina,654959,12,good,TEACHER,PROFESSOR,3.8,4.0,4.0,,"Horrible professor. Her class is completely unorganized. You feel like the class content just get thrown at you from no where. There is no slides available, everything is just talked about and written down. Even the readings, she just says to read them once in class, and then would cold call random student and expect you have done everything.","Linda Canina was one of my most memorable professors at Cornell. Her unique sense of humor and lecture style kept me engaged throughout the hour-plus lecture, and I felt I learned a lot from her class. She LOVES to call on students- it kept everyone on their toes and definitely made class more interesting. Would highly recommend this course.","Attendance not mandatory, but GO TO CLASS. Book is not as important as her lecture slides. All the concepts on the test are on the slides. Take notes of her explanations in class. Copy everything she writes in class. Redo the problems. Understand the concepts behind each step. Problems on prelims and final  problems from lecture. I learned a lot."
Mathematics,298,Cornell University,Xiadong,,Cao,2457365,0,zero,TEACHER,PROFESSOR,N/A,,,,,,
Mathematics,298,Cornell University,Xiaodong,,Cao,1603600,7,poor,TEACHER,PROFESSOR,1.8,4.0,4.0,,"You get what you put in. Don't fool yourself by thinking you're prepared by taking Calc AB/BC. It's a tough class that will teach you what you already know; you might be out of practice or never understood the material in the first place, but 1120 will make that glaringly obvious. Assessments are fair but you need to work for them. Glad it's over.","The prof is really a nice and super smart guy, however, his articulation and explanations are.. subpar. Follow-up questions usually meant hearing the same thing he said before (dunno if it's the same with office hours). His classes are survivable, but I would have probably bombed this class had I not had some experience with Calc 2 in high school.",Prof did not teach in a way that made sense. Textbooks were better for learning the material. The final exam was made up of around 75% of things we learned in the last two weeks of class.
Computer Science,298,Cornell University,Marseille,,Cardie,2523229,1,good,TEACHER,PROFESSOR,5.0,5.0,5.0,,Marseille was very good at demonstrating the tricks needed. He always made everyone's lecture much better and was the reason the front row in lecture was so highly desired.,,
Computer Science,298,Cornell University,Claire,,Cardie,521940,12,good,TEACHER,PROFESSOR,3.6,5.0,5.0,,"Honestly kind of mediocre. She seems nice, and she brings her dogs to class, but I dont think shes the best teacher, per se. Class is decent, moderate in difficulty (more bothersome than difficult, since there are lengthy projects that must be done in pairs as well as exams and written assignments and a pretty involved participation grade).","Prof Cardie is a leading NLP researcher, a very good instructor, and a caring person. I took the introduction to NLP class. The class itself was super interesting and the staff does a very good job at breaking down a very complex and ever changing subfield of CS. A must take!","So disorganized, unclear lectures"
Political Science,298,Cornell University,Allen,,Carlson,134413,14,good,TEACHER,PROFESSOR,4.2,5.0,5.0,,"Allen is a super nice person and totally willing to help you. However, he is really busy (I believe) and it is hard to find him after class. Still, I highly recommend taking his course and enjoying the discussion there.","This course involves tons of reading. Interesting lecturer, just lots of work.","Carlson is a very solid and nice, if uninspiring professor. His lectures are always clear and if you're interested in China he sufficiently will stimulate it. Workload is easy too. However, he is very disorganized (not giving out assignments in time, always being late, etc)"
