tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating,review_quality_rating,review_difficulty_rating,review_class,review
Hospitality,298,Cornell University,Walter,,Boudry,2339027,0,zero,TEACHER,PROFESSOR,N/A,,,,
Business,298,Cornell University,Danier,,Bouza,1329394,5,good,TEACHER,PROFESSOR,4.5,5.0,5.0,AEM4360,Challenging but gives tons of opportunities to do well
Languages,298,Cornell University,John,,Bowers,761882,4,poor,TEACHER,PROFESSOR,1.1,,,LING1106,Incredibly unhelpful and demeaning. Absolutely no redeeming qualities. I implore anyone reading this to stay away from Bowers.
Archaeology,298,Cornell University,Kimberly,,Bowes,1094316,4,good,TEACHER,PROFESSOR,4.0,5.0,5.0,AH201,she puts out for a better grade. I would've gotten a C.
Biology,298,Cornell University,Dwight,,Bowman,207928,20,good,TEACHER,PROFESSOR,4.2,5.0,5.0,MEDPARISITOLOG,"Overall, really easy class but requires time to rote memorize. Go to class. Memorize slides cold. Get the extra credit points. Get an A+ and pat yourself on the back."
Law,298,Cornell University,Cynthia,,Bowman,1458626,1,good,TEACHER,PROFESSOR,5.0,5.0,5.0,LAW4121,"Fabulous woman. Knows her stuff (she co-authored the text). Approachable, engaging, & funny. If you do the work, the class is not difficult. The TAs are nice law students. A few short papers & a final exam (law school style) which turns out to be the most fun (yes a fun exam) exam I have ever had that legit. tested my understanding of the material"
Anthropology,298,Cornell University,Jonathan,A.,Boyarin,1946753,2,poor,TEACHER,PROFESSOR,2.3,,,ANTHR1190,"The class was boring and I only took it because it fulfilled 3 requirements. Prof Boyarin is old fashioned and isn't a very engaging lecturer- basically just reads off a paper about readings that no one did. He gives okay feedback on the weekly writing assignments, but he's a very harsh grader. No need to show up to class, just write good essays"
African Studies,298,Cornell University,Carole,,Boyce Davies,1524335,4,good,TEACHER,PROFESSOR,3.7,5.0,5.0,ASRC1816,She is an amazing teacher who helped me with my writing skills and really cares about her students. I loved this class.
Philosophy,298,Cornell University,Richard,,Boyd,204062,17,average,TEACHER,PROFESSOR,3.1,4.0,4.0,PHIL453,"Wonderful person, brilliant philosopher, terrible professor. His lectures were boring to the point of being painful, and so complicated and rambling that if I zoned out for even a second I was lost for over an hour. I didn't do any of the work for his class, wrote a half-assed paper and got an A. The real challenge was giving up my Tuesday nights."
Economics,298,Cornell University,George,,Boyer,202464,39,good,TEACHER,PROFESSOR,4.5,5.0,5.0,ILRIC2350,One of my favorite professors at Cornell. Lectures and slides contain all the info needed for prelim. Offers helpful study session before exam. Super chill and tells bad jokes to keep lectures interesting. Definitely take his class if you get the opportunity!
Computer Science,298,Cornell University,Anne,,Bracy,2109847,43,average,TEACHER,PROFESSOR,3.0,5.0,5.0,CS3410,"Clear lecturer who's very passionate about the subject, and makes many references to Wegmans during the lectures. Went through numerous examples during class when covering more complex topics like caches, and reduced the difficulty of the assignments to accomodate for a hybrid class format. Had a reasonable slip day policy for project submissions."
English,298,Cornell University,Jeremy,,Braddock,1423180,8,good,TEACHER,PROFESSOR,3.9,4.0,4.0,ENGL1270,"Definitely one of the better FWS, IF you enjoyed HS English class. Normally great discussions and essays are very open-ended. Always accessible and very caring, especially during a tumultuous semester. You get what you put in. Recommend for the student willing try and improve; he rewards effort, not content. Not an easy grade, but worth it."
Food Science,298,Cornell University,John,,Brady,2688279,0,zero,TEACHER,PROFESSOR,N/A,,,,
Psychology,298,Cornell University,Charles,,Brainerd,852473,8,poor,TEACHER,PROFESSOR,2.3,4.0,4.0,PSYCH3190,"Very long and boring lectures (and hard to hear when hes not mic-ed.), and a good amount of reading. Seems like a nice enough guy, knows his stuff in and out. Class is easy if you have good memory and good logic; pay attention in lecture and memorize terms and keywords from readings. Grade is all MC exams which are a bit error-prone but whatever."
Statistics,298,Cornell University,Maria,,Bramati,2185911,2,average,TEACHER,PROFESSOR,3.0,4.0,4.0,STSCI4550,"Very passionate professor. Great class for student truly interested in understanding the mechanism behind time series model, with some technical details omitted. Cover a wide range of topics. A little European accent, but quite clear."
Economics,298,Cornell University,Giulia,,Brancaccio,2697020,1,poor,TEACHER,PROFESSOR,2.0,,,ECON4610,"This prof is so kind and caring, but she is the worst professor I've had in at Cornell so far. She's disorganized, not engaging, and sometimes seems to not know what's going on. The exams are extremely difficult (she had to literally double everyone's points on the first prelim and the average was still in the 70s) and don't really reflect class."
Near Eastern Studies,298,Cornell University,Ross,,Brann,381056,24,good,TEACHER,PROFESSOR,4.5,5.0,5.0,NES2686,"Professor Brann is an extremely intelligent, wise and kind person. The US and Middle East class is taught in an objective, broad fashion and Professor Brann's anecdotes are interesting. He makes an effort to get to know his students and really respects people seeking him (OH). Grade was negotiated at the end of semester!"
Human Ecology,298,Cornell University,Patsy,,Brannon,990890,11,good,TEACHER,PROFESSOR,4.2,5.0,5.0,NS1220,"Best professor I have had at Cornell! Very clear with explanations and the audio recordings were helpful as well. Made me genuinely interested in the topics and the final grade I got reflected the work and consistent effort I put into the class, which was very rewarding."
Sociology,298,Cornell University,Matt,,Brashears,1244934,8,good,TEACHER,PROFESSOR,4.3,4.5,4.5,SOC 3010,"Makes stats interesting. If you have to take a stats course, take this one. Also, not sure if he still does this, but if you have an A for the semester, you don't have to take the final, which was nice."
Philosophy,298,Cornell University,Tad,,Brennan,1020285,17,good,TEACHER,PROFESSOR,4.2,5.0,5.0,PHIL2200,"This professor is really knowledgable, and covers a huge amount of material in one semester. You don't even really need to do the readings or take notes (although the final papers do cover what is talked about in class so I suggest taking notes). GO TO TA's FOR HELP WITH YOUR ESSAYS THEY ARE THE GRADERS."
Biology,298,Cornell University,Anthony,,Bretscher,1629987,15,good,TEACHER,PROFESSOR,4.1,5.0,5.0,BIOMG1350,An absolutely amazing professor! He truly cares about his students and does his best to perfect all the course material. His lectures are so well put together and he always times himself to make sure that his lectures last just the right amount of time. He is always open to help students despite being kind of scary at first haha.
Science,298,Cornell University,Andrew D,,Bridson,1561761,2,poor,TEACHER,PROFESSOR,2.2,,,FREN1102,"He spent way too much time focusing on the mathes and very little classtime actually adressing the beaucoup des animaux dans la fenetre. He also encouraged us to learn through the Wheel of Fortune game, which only served to distract us even more."
Classics,298,Cornell University,Charles,Francis,Brittain,2715722,0,zero,TEACHER,PROFESSOR,N/A,,,,
Social Science,298,Cornell University,Kate,,Bronfenbrenner,609742,18,average,TEACHER,PROFESSOR,3.3,4.0,4.0,ILRLR4000,"Professor Bronfenbrenner is very well respected in her field and she makes that very clear within her class. She's very knowledgeable but isn't the best at conveying that knowledge. She can be intimidating at first, but once you warm up to her she can be very helpful and makes it clear that she wants you to succeed."
Animal Science,298,Cornell University,Samantha,,Brooks,1252117,7,average,TEACHER,PROFESSOR,2.5,4.0,4.0,ANSC2650,You get to do ten barn chores that take about an hour and fifteen minutes to do. Lectures are necessary. Quizzes cover random facts and not so much the actual useful stuff or even the material focused on. Quizzes are harder than prelims. TA's are generally not nice or all that available. Office hours do not exist. Horse experience is necessary!!!
Economics,298,Cornell University,Nancy,,Brooks,1478260,8,average,TEACHER,PROFESSOR,2.5,5.0,5.0,CRP5120,"Worst professor I have ever experienced.  Lectures are rushed and questions are treated as an interruption to class.  Grading affords no constructive feedback that provides solutions, only aggressive comments stating the answers are incorrect.  Lacks personable skills when interacting outside of class.  If your goal is to learn , avoid this one."
Animal Science,298,Cornell University,Dan L.,,Brown,625329,7,good,TEACHER,PROFESSOR,4.1,5.0,5.0,ANSC3200,Dr. Brown's Comparative Nutrition class has been my favorite at Cornell so far.  The lectures are entertaining and informative and the labs are fun in the typical Animal Science way.  There is no textbook but rather handouts to read.  Tests are mostly take-home.
Social Science,298,Cornell University,David,,Brown,815214,3,good,TEACHER,PROFESSOR,4.5,5.0,5.0,SOC2202,"One of the nicest people you'll meet. Knows the stuff really well and is hugely committed to ensuring that students understand the material. Clear, excellent lecturer. The class is easy, too."
German,298,Cornell University,Alex,,Brown,1961967,0,zero,TEACHER,PROFESSOR,N/A,,,,
English,298,Cornell University,Laura,,Brown,2364512,3,good,TEACHER,PROFESSOR,5.0,5.0,5.0,ENGL4350,"Prof. Laura Brown is a GEM. She is so kind and sweet - she cares about your opinion and is quick to praise interesting thoughts. She is humble, incredibly brilliant, a great listener, and SO flexible. If you need an extension, she is very generous. She also invited our whole class to her house for dinner at the end of the semester. She is so loved!"
Engineering,298,Cornell University,Larry,,Brown,369497,27,average,TEACHER,PROFESSOR,2.9,5.0,5.0,EAS1220,"Larry seems like a perfectly nice guy, but his teaching style leaves room for improvement. This was my most disorganized class of the semester and although the homework isn't difficult, the textbook assignments are extremely long. Also, as others have said, the quizzes are only based on his hard-to-follow lectures and they can be rough."
Organizational Studies,298,Cornell University,Judith,,Brownell,1162700,4,average,TEACHER,PROFESSOR,3.3,4.0,4.0,HADM1150,Very easy class to pass with Judi. She is super caring and nice and gives the easiest homework. Honestly the class is a bit of a joke where you play games and chat most of the time. You can very easily get an A if you show up and just put a little bit of time into the few pieces of homework that she gives. Big plus - she has no finals unlike others
Philosophy,298,Cornell University,Lawrence,,Bruce-Robertson,449436,8,good,TEACHER,PROFESSOR,4.1,5.0,5.0,PHIL1112,"Lawrence's class was one of the most engaging and thought provoking classes I have taken at Cornell. While essays were few and far in between, they required a close reading of the text and a well structured argument. Anyone with the slightest interest or prior experience with philosophy would enjoy his class. I myself am a ChemE maj and I loved it"
Physical Education,298,Cornell University,Michael,,Bryant,2508691,2,good,TEACHER,PROFESSOR,4.5,4.0,4.0,PE1440,"Chill dude, not too overbearing. Unfortunately he will also try to push his anti-vax agenda onto you occasionally, but still a great guy overall."
Entomology,298,Cornell University,Nicolas,,Buchon,2258419,30,good,TEACHER,PROFESSOR,4.4,5.0,5.0,BIOG1440,"Prof Buchon's slides and lectures were by far the most clear and easy to understand. I felt like the topics he taught were some of the more difficult ones, but his explanations and heavy use of in-class practice questions helped a lot. He also pushed back a prelim when he knew the students were stressed about other emergency matters."
Political Science,298,Cornell University,Susan,,Buck-Morss,240959,15,average,TEACHER,PROFESSOR,3.0,4.0,4.0,GOVT466,"Based on her knowledge should not be teaching a class on Islamism, based on a poor attitude towards students and totally unprofessional behavior in class should not be teaching at all. Whatever I know about Islamism, I learned outside of class. Susan was a waste of my time and a (rare) horrible Cornell experience."
Biology,298,Cornell University,Daniel,H,Buckley,2236714,4,good,TEACHER,PROFESSOR,5.0,5.0,5.0,BIOMI1120,Absolutely amazing! Best professor I've ever had. Takes all the bio concepts and info and relates it back to everyday life. Lectures are extremely interesting and go at the perfect pace. Definitely take this class!
Natural Resources,298,Cornell University,Dylan,,Bugden,2386902,3,poor,TEACHER,PROFESSOR,1.7,,,SOC317,"One of the worst classes and professors Ive ever had in my life. I honestly dont think he is In teaching to actually teach. The entire class was just pushing out as many assignment as possible. And then when I got something wrong, he would not teach and let me know why, he just said this is not correct, like gee thanks TEACHER"
History,298,Cornell University,Eliza,,Buhrer,1156980,2,good,TEACHER,PROFESSOR,4.5,4.5,4.5,HIST1201,"Easy grader, but but her class is so boring"
Philosophy,298,Cornell University,Nathan,,Bulthuis,1997297,6,good,TEACHER,PROFESSOR,4.6,5.0,5.0,PHL360,"Dr. Bulthuis is an exceptional professor & explains complicated content in a clear, palatable way. He makes you want to learn the material. This course was on the Philosophy of Aquinas--heavy duty stuff--& Dr. B he made it enjoyable and exciting. I was blown away at this course from beginning to end. He wants you to get it & is very approachable."
African Studies,298,Cornell University,Happiness,,Bulugu,1839685,3,good,TEACHER,PROFESSOR,4.8,5.0,5.0,SWAHL1100,"Happiness is the best language professor/teacher I have ever had. She is unbelievably caring and genuinely interested in her students. Swahili is a fun language to learn and Happiness creates a low-stress environment to do so. I look forward to her class every day and no Friday classes are a perk :) I highly, highly recommend!!"
Statistics,298,Cornell University,Florentina,,Bunea,2074100,14,average,TEACHER,PROFESSOR,2.7,4.0,4.0,BTRY3080,"Bunea's class was hard for me. Definitely wouldn't recommend for someone who doesn't have background in Stats or some calc. That being said, she clearly likes the class and her students. She said some of the funniest things in lecture and was really open to helping me when I did poorly on a test. She gets a bad rep: unjustly."
Mathematics,298,Cornell University,John,,Bunge,1235031,8,good,TEACHER,PROFESSOR,4.7,5.0,5.0,BTRY4140,"John Bunge knows so much about the statistics field and isn't afraid to spend entire lectures discussing an interesting hot topic, such as the replication crisis. He followed the textbook pretty closely, and exams and HW were reasonable. You should definitely go to lecture because he was so funny and gave great advice to stats majors."
Film,298,Cornell University,Austin,,Bunn,1827456,4,average,TEACHER,PROFESSOR,3.3,4.0,4.0,PMA3533,"Prof. Austin Bunn is one of the best professors at Cornell, Screen & Story is one of the best classes at Cornell, BUT he sometimes isn't that nice of a guy. He pokes fun at students in class and makes the class laugh at them. He will also mock your opinion if he disagrees with it. He's incredible at his job, but when the joke is you, it's not fun."
Economics,298,Cornell University,Richard,,Burkhauser,349936,90,average,TEACHER,PROFESSOR,2.5,4.0,4.0,ECON1110,"I feel that Professor Burkhauser gets unfairly criticized by people who feel that any introductory social sciences class should be a walk in the park. Yes, his final is very difficult, but doing well on it is extremely rewarding and cements your knowledge of the material covered over the 15 or so weeks prior. If you take his class, be prepared to think about all of the concepts he goes over and be wary of some trick questions, but also be prepared to learn more about economics than most other professors at Cornell could ever provide."
Human Ecology,298,Cornell University,Anthony,,Burrow,1348749,11,good,TEACHER,PROFESSOR,4.6,5.0,5.0,HD1170,"I stumbled upon his class by coincidence, but Professor Burrow turned out to be my favorite professor at Cornell. He is very in tune with his students' needs and cares a lot about everyone. His lectures were the highlight of my week--he is incredibly engaging and passionate while staying open-minded. Take his class if you can!!!"
Not Specified,298,Cornell University,Mary,,Burton,1489756,0,zero,TEACHER,PROFESSOR,N/A,,,,
Labor  Employment Relations,298,Cornell University,Diane,,Burton,2101286,6,poor,TEACHER,PROFESSOR,1.8,4.0,4.0,ILRID1700,"Overall, the class was very disorganized. There were many small assignments, that were difficult to keep track of, and many difficult group assignments. Grading criteria was completely random and generally unclear. Would not take this class again."
Engineering,298,Cornell University,Jonathan,,Butcher,1654092,2,good,TEACHER,PROFESSOR,3.5,5.0,5.0,BME5810,Clear knowledge and has great control on the subject matter. Great lectures and good learning.
African Studies,298,Cornell University,Judith,,Byfield,1382550,7,average,TEACHER,PROFESSOR,2.5,4.0,4.0,HIST2435,This professor is a menace. Her grading was completely unclear and she obviously gave students bad grades for no other reason than she didn't like them. Taking this course was like watching a child on a power trip every day. stay away
Communication,298,Cornell University,Christopher,,Byrne,2603835,2,good,TEACHER,PROFESSOR,5.0,5.0,5.0,COMM3060,"Prof. Byrne is one of the best comm profs. He is knowledgeable and genuinely a good person. He gives good feedback to improve on assignments, and is generally reasonable with grades and has clear rubrics. Due dates are fairly spaced out, and overall he's just a great person and professor"
Communication,298,Cornell University,Sahara,,Byrne,1242827,18,good,TEACHER,PROFESSOR,4.8,5.0,5.0,COMM1101,"Professor Byrne truly cares about her students and not just their success inside of her class, but their outside involvement as well. I was fortunate to have her for COMM 1101 in person this year and she was so understanding about all the struggles of online learning for the kids who were not on campus and pushed back assignment dates to help."
Engineering,298,Cornell University,K Bingham,,Cady,289759,15,poor,TEACHER,PROFESSOR,2.3,5.0,5.0,TAM413,Probably the most pathetic professor I've ever met.  He can't teach anything or explain anything.  He assigned an incomprehensible book with too many errors.  If you're willing to turn in a paper every class that looks like the homework you should get an A.  (You'll notice I'm didn't care enough about the class to do that).
Operations amp Information Mgmt.,298,Cornell University,Kathryn,,Caggiano,2326373,3,good,TEACHER,PROFESSOR,3.7,5.0,5.0,ORIE4820,One of the best professors you could ever asked for in life.
Entomology,298,Cornell University,Marina,,Caillaud,2612419,8,good,TEACHER,PROFESSOR,4.5,5.0,5.0,BSOC2100,Super kind prof and passionate about material. Need to study for exams but questions are straight-forward if you know the content
English,298,Cornell University,Marty,,Cain,2641430,3,good,TEACHER,PROFESSOR,5.0,5.0,5.0,ENGL1168,He's an awesome guy and cares about his students. He encourages discussion and is understanding and open-minded. We did interesting projects and the class environment was truly great
Engineering,298,Cornell University,John,,Callister,166526,119,good,TEACHER,PROFESSOR,3.5,5.0,5.0,ORIE3150,Easy as long as you pay attention and spend time doing the homework. The course covers a lot of materials so organizing notes can be really helpful.
Writing,298,Cornell University,Cynthia,,Camp,486738,4,good,TEACHER,PROFESSOR,4.0,4.5,4.5,ENGL4240,"I WOULD NOT PREFER. I RECEIVING A 50 ON THE FIRST ESSAY, I ASKED FOR GUIDANCE. WE EMAILED BACK AND FORWARDS ABOUT 3TIMES CONCERNING THE 2ND ESSAY. I MADE ALL CORRECTION AND TWEEKS SHE ASKED ME TO MAKE THREEEE TIMESSSS, AND I STILL RECEIVED A 'C' ON THE ESSAY. don't do it unless you want to drop your gpa!"
Asian Studies,298,Cornell University,Andrew,,Campana,2659927,0,zero,TEACHER,PROFESSOR,N/A,,,,
City & Regional Planning,298,Cornell University,Thomas,J,Campanella,1919764,9,average,TEACHER,PROFESSOR,2.7,5.0,5.0,CRP1100,Very interesting lectures presented in an energetic way. Extremely knowledgeable about everything urban planning.
Languages,298,Cornell University,Timothy,,Campbell,131125,3,average,TEACHER,PROFESSOR,3.0,,,ITAL3730,"Prof. Campbell does make you think about the issues you'll discuss in his class, and his own knowledge of the content is well-versed (fascism/modernity is what he researches, after all). He's very laid back and helpful, though sometimes he can be a little too laid back. Be warned: there may come a day where he forgets to tell you there's no class!"
Writing,298,Cornell University,Timothy,,Campbell,2209325,1,poor,TEACHER,PROFESSOR,2.0,,,ROMS1108,Interesting class Makes you buy two books which are a waste of our time Tough and unclear grader Cancelled 4 of our classes and had us attend a 2 hour make up class Gave us final essay prompt 9 days before due date (gave us the Tuesday of finals week (12/6) and due last day of finals (12/15). Very unfair thing to do as many of us had 3 or 4 finals
Biology,298,Cornell University,Darlene,,Campbell,746641,28,good,TEACHER,PROFESSOR,3.7,4.0,4.0,BIOG1445,"This is an auto-tutorial, so you will not see the professor as much. Use the survival guide, textbook, and website simultaneously to complete the objectives for each unit. You will have weekly multiple choice quizzes + oral exams with your designated TA. Each week1 unit. You will have extension days. Lab grades are harsh but the quiz & oral is ok."
Aerospace Eng.  Mechanics,298,Cornell University,Mark,,Campbell,2164970,1,good,TEACHER,PROFESSOR,5.0,5.0,5.0,MAE6760,"IF YOU'RE READY TO WORK, HE'S THE MAN TO GO TO"
English,298,Cornell University,Angelina,,Campos,2756986,0,zero,TEACHER,PROFESSOR,N/A,,,,
Finance,298,Cornell University,Linda,,Canina,654959,12,good,TEACHER,PROFESSOR,3.8,4.0,4.0,HADM4260,"Horrible professor. Her class is completely unorganized. You feel like the class content just get thrown at you from no where. There is no slides available, everything is just talked about and written down. Even the readings, she just says to read them once in class, and then would cold call random student and expect you have done everything."
Mathematics,298,Cornell University,Xiadong,,Cao,2457365,0,zero,TEACHER,PROFESSOR,N/A,,,,
Mathematics,298,Cornell University,Xiaodong,,Cao,1603600,7,poor,TEACHER,PROFESSOR,1.8,4.0,4.0,MATH1120,"You get what you put in. Don't fool yourself by thinking you're prepared by taking Calc AB/BC. It's a tough class that will teach you what you already know; you might be out of practice or never understood the material in the first place, but 1120 will make that glaringly obvious. Assessments are fair but you need to work for them. Glad it's over."
Computer Science,298,Cornell University,Marseille,,Cardie,2523229,1,good,TEACHER,PROFESSOR,5.0,5.0,5.0,CS4740,Marseille was very good at demonstrating the tricks needed. He always made everyone's lecture much better and was the reason the front row in lecture was so highly desired.
Computer Science,298,Cornell University,Claire,,Cardie,521940,12,good,TEACHER,PROFESSOR,3.6,5.0,5.0,CS4740,"Honestly kind of mediocre. She seems nice, and she brings her dogs to class, but I dont think shes the best teacher, per se. Class is decent, moderate in difficulty (more bothersome than difficult, since there are lengthy projects that must be done in pairs as well as exams and written assignments and a pretty involved participation grade)."
Political Science,298,Cornell University,Allen,,Carlson,134413,14,good,TEACHER,PROFESSOR,4.2,5.0,5.0,GOVT605,"Allen is a super nice person and totally willing to help you. However, he is really busy (I believe) and it is hard to find him after class. Still, I highly recommend taking his course and enjoying the discussion there."
Human Ecology,298,Cornell University,Julie,,Carmalt,1782009,12,good,TEACHER,PROFESSOR,4.5,5.0,5.0,PAM3280,"Just great. If you care about social justice, take her class, even if you are not interested in public health or such you will learn a lot and her clear grading criteria will for sure help u get an A. She is so sweet. Her lectures were pretty fun. It is hard to ignore her lectures because she is so charming and witty."
Literature,298,Cornell University,Calum,,Carmichael,525463,7,good,TEACHER,PROFESSOR,3.6,4.0,4.0,RELST4260,"Carmichael was an awesome professor. If you're interested in the subject material and keep an open mind, you will definitely learn so much information. I look at the world differently thanks to him."
History,298,Cornell University,Vicki,,Caron,786994,2,average,TEACHER,PROFESSOR,3.2,4.5,4.5,HIST370,"Really hard to follow, doesn't really make a point when talking.."
Anthropology,298,Cornell University,Michael,,Carpentier,1790297,1,good,TEACHER,PROFESSOR,4.0,4.0,4.0,ANTHR1131,"I took the class because it sounded interesting, but I didnt really care much about the topic. Turns out I really enjoyed the class. The material is difficult, but he really does work hard to help you get it. He gives lots of feedback on your writing, too."
Engineering,298,Cornell University,Paul,,Carr,655823,5,average,TEACHER,PROFESSOR,2.7,4.0,4.0,CEE5950,Paul Carr has an awesome background in the field of construction management and he isn't afraid to give students the real truth to make them the best future professional they can be.
Anthropology,298,Cornell University,Kevin,,Carrico,1733677,5,good,TEACHER,PROFESSOR,4.3,4.5,4.5,ANTHR1144,As they said not a hard grader. Also provides a lot of useful comments. too many to read
Fine Arts,298,Cornell University,Jason,,Carrier,2161295,2,poor,TEACHER,PROFESSOR,2.0,,,ART3699,Doesn't really know how to teach a course and gives virtually no guidance on what he expects from you. Took course over summer and he tried to pack too much into the six week session. Be prepared to take a lot of photos and read the syllabus because he won't answer a question if it is on the syllabus.
Literature,298,Cornell University,Loretta,,Carrillo,16602,4,good,TEACHER,PROFESSOR,4.2,5.0,5.0,COMP001,"I had Ms. Carrillo for an Intro to Fiction Writing class ages ago at Michigan State, and I can honesly say that she is probably the major reason I write today (I'm published, but mostly just write becaus I learned to love it)."
Classics,298,Cornell University,Jennifer,,Carrington,2098174,1,good,TEACHER,PROFESSOR,4.0,4.0,4.0,CLASS1531,"I took this FWS in the fall as a freshman. Although there is some reading, and there are papers, its a really good course, you only need to get one book, and the readings are mostly online. She does expect more from people, but in general, she tries to help you out. If you do the readings and essays, there is no reason you shouldn't get an A."
Business,298,Cornell University,Bill,,Carroll,194054,13,good,TEACHER,PROFESSOR,4.2,4.5,4.5,HADM1410,"Dr. Carrol is fantastic! funny and brilliant; he really makes the students think about the real-world applications of econ. but he does speak quickly. even though the text is rarely used, it helps to read through the material if you're having trouble. Go to TA office hours. the tests are hard with random questions mentioned maybe once in class."
Mathematics,298,Cornell University,Edoardo,,Carta,682826,5,good,TEACHER,PROFESSOR,4.1,5.0,5.0,MATH102,awfull
English,298,Cornell University,Cathy,,Caruth,2295274,4,good,TEACHER,PROFESSOR,4.2,5.0,5.0,ENGL1158,"Professor Caruth is one of the most caring instructors that I have ever met. If you contact her outside of class, she is very accommodating, and she wants to see all of her students succeed. The course involved a lot of reading, but it was manageable and allowed for an increase in analytical reading skills. She also brings outside relevant info in"
Business,298,Cornell University,Steven,,Carvell,182136,7,good,TEACHER,PROFESSOR,4.4,5.0,5.0,HADM2250,"I did not think Professor Carvell was a good professor. His lectures weren't informative and he did not give a lot of opportunities to practice. The exams were heavy on open-ended questions that were not practiced beforehand. His TAs were awful and could not answer questions that were asked, and seemed just as confused as the students."
Writing,298,Cornell University,Mickey,,Casad,1592053,2,good,TEACHER,PROFESSOR,4.5,4.5,4.5,WRI101,Mickey was a really good teacher who went over everything at a good pace. Very clear and helpful! She is worth taking and is very nice on the eyes.
Comparative Literature,298,Cornell University,Madeline,,Casad,1592056,2,good,TEACHER,PROFESSOR,4.8,5.0,5.0,03301,None
Human Ecology,298,Cornell University,Daniel,,Casasanto,2655357,0,zero,TEACHER,PROFESSOR,N/A,,,,
Psychology,298,Cornell University,Marianella,,Casasola,529941,14,good,TEACHER,PROFESSOR,4.4,5.0,5.0,HD2830,"I took this class as a freshman, and absolutely loved it. Prof. Casasola was incredibly helpful, detailed, and really pushed her students to succeed. The bulk of your grade comes from two research projects - you'll learn a lot about academic writing, APA formatting, and the scientific method. Highly recommend!"
Physics,298,Cornell University,Glenn,,Case,1985018,18,good,TEACHER,PROFESSOR,3.6,5.0,5.0,PHYS2214,"Hard class and a lot of assignments per week, but good prof who is passionate about physics and wants you to learn and succeed in the course."
History,298,Cornell University,Holly,,Case,489963,27,good,TEACHER,PROFESSOR,4.5,5.0,5.0,HIST2711,Holly Case is brilliant.
Labor amp Employment Relations,298,Cornell University,John,,Castella,2412701,1,good,TEACHER,PROFESSOR,5.0,5.0,5.0,LS239,"Great online class. With my busy work schedule, I still make the time to be available for the weekly online conferences. Solid course content and professor!"
French,298,Cornell University,Pierre-Elliot (Peter),,Caswell,2678774,3,poor,TEACHER,PROFESSOR,1.0,,,ROMS1108,"I hated his class. He made some pretty ""problematic"" comments about people of color that did not sit well with any of the students in the class. I wanted to drop his section but no other class fit my schedule."
Earth Science,298,Cornell University,Larry,,Cathles,1558429,1,good,TEACHER,PROFESSOR,5.0,5.0,5.0,EAS4010,"Great professor, very fun/easy class. A couple group projects and psets, no exams. You are pretty much guaranteed an A if you do the work."
Biology,298,Cornell University,Marie,,Caudill,1384929,11,good,TEACHER,PROFESSOR,4.3,5.0,5.0,NS4410,"Tests you on stuff she didn't teach in class, avoid this class at all costs, switch your major if you have to."
Economics,298,Cornell University,Julieta,,Caunedo,1963171,7,average,TEACHER,PROFESSOR,2.9,4.0,4.0,ECON3040,Really bad class organization Never able to finish class material as planned Discussion always went out of the way Speak too fast mostly mumbling with heavy accent
Political Science,298,Cornell University,John,,Cawley,284247,18,good,TEACHER,PROFESSOR,4.3,5.0,5.0,PAM4280,"One of the best professors I've ever had. Always able to crack a joke or link something back to his crazy family history. Super interesting lectures/content, and the Policy Wargame at the end of the class was honestly my favorite project that I've ever done. I would take him for literally every class if I could, I cannot recommend him higher"
Human Ecology,298,Cornell University,Stephen,,Ceci,1954956,2,good,TEACHER,PROFESSOR,4.8,5.0,5.0,HD4230,"Ceci is incredibly kind, a great teacher, and extremely well-respected in his field. I haven't met a single person who doesn't like him/his classes. He is flexible and caring and incredibly knowledgable. Get to know him if you can!"
English,298,Cornell University,James,,Cecil,1271124,8,good,TEACHER,PROFESSOR,3.5,4.0,4.0,ENGL108,"Dude hasn't taught here for a year...but in light of the below comments, wanted to say one of my better classes. Make an effort, talk to him, and you're fine. He gives a damn and a lot of people end up with crappy grades cause they can't deal with having something asked of them.."
Engineering,298,Cornell University,Alfred,,Center,138544,9,average,TEACHER,PROFESSOR,3.1,5.0,5.0,CHEME5000,"Professor AI is a great person. He truly cares about his student, and has a kind heart for grades. Would like to take his class again."
Chemistry,298,Cornell University,Richard,,Cerione,1615656,0,zero,TEACHER,PROFESSOR,N/A,,,,
Languages,298,Cornell University,Flaminia,,Cervesi-Mccobb,131157,15,good,TEACHER,PROFESSOR,4.5,5.0,5.0,ITAL1201,I've had two classes with her and she's wonderful! Can be tough at times but is seriously dedicated to helping you learn the material and is often quite funny. You obviously have to participate a lot since its a language class so I don't suggest taking it early in the morning or you'll be too tired to want to do the exercises
Science Technology & Society,298,Cornell University,Ivaacuten,,Chaar-Loacutepez,2570049,0,zero,TEACHER,PROFESSOR,N/A,,,,
Writing,298,Cornell University,Brian,,Chabot,1171489,2,good,TEACHER,PROFESSOR,3.5,5.0,5.0,BIOEE101,"Great teacher, easy/fair essay grader, very approachable. Discussion can get a little dull but there isn't much reading. I'd recommend taking this class"
